Match,Number of epochs,Learning rate,Node features,Dropout rate,Patience,Hidden dimension,Precision,Recall,F1 Score,Accuracy,AUROC
2-1,100,0.0005,10,0.3,15,64,0.9004535675048828,0.966559886932373,0.9323363900184631,0.8960705995559692,0.830588698387146
2-1,100,0.0005,10,0.3,15,32,0.9210026860237122,0.9320948123931885,0.926515519618988,0.8904707431793213,0.8518035411834717
2-1,100,0.0005,10,0.3,15,16,0.914976179599762,0.9361947178840637,0.925463855266571,0.8882877826690674,0.8437839150428772
2-1,200,0.0008,10,0.15,15,16,0.9453169703483582,0.8872956037521362,0.9153878092765808,0.9317383170127869,0.9253557324409485
2-1,200,0.0008,10,0.15,15,128,0.9411538243293762,0.9405509233474731,0.9408522844314575,0.9123955965042114,0.8862403035163879
2-1,200,0.1,10,0.2,15,16,0.8128129243850708,0.9151825904846191,0.8609654903411865,0.7810364365577698,0.656419575214386
2-1,200,0.001,10,0.2,15,16,0.9123874306678772,0.9606662392616272,0.9359046220779419,0.9025246500968933,0.8485132455825806
2-1,200,0.0008,10,0.15,15,16,0.9390009045600891,0.9368353486061096,0.9379168748855591,0.9081245064735413,0.8814531564712524
2-1,200,0.0008,10,0.15,15,16,0.9036639928817749,0.9290198683738708,0.9161665439605713,0.8740508556365967,0.8229867219924927
2-1,200,0.0008,10,0.15,15,16,0.8964229822158813,0.9536194801330566,0.9241370558738708,0.8840166926383972,0.8193582892417908
2-1,100,0.0008,10,0.15,15,32,0.9267774820327759,0.9502882957458496,0.9383856058120728,0.9075550436973572,0.8678574562072754
2-1,100,0.0008,10,0.15,15,15,0.9019275307655334,0.9532350897789001,0.9268718361854553,0.8885725140571594,0.8285032510757446
2-1,200,0.0008,10,0.15,15,16,0.9262096285820007,0.9295323491096497,0.9278680086135864,0.892938494682312,0.8589441180229187
2-1,200,0.0008,10,0.15,15,16,0.8713321089744568,0.9587444067001343,0.9129506349563599,0.8645595908164978,0.7770653367042542
2-1,200,0.0008,10,0.15,15,16,0.7467532753944397,1.0,0.8550186157226562,0.7467532753944397,0.5
2-1,200,0.0008,10,0.15,15,16,0.9514251351356506,0.9073506593704224,0.928865373134613,0.8965811729431152,0.8863034248352051
2-1,200,0.0008,12,0.15,15,16,0.9646074771881104,0.9643592238426208,0.9644833207130432,0.9457706809043884,0.9250545501708984
2-1,200,0.0008,12,0.15,15,16,0.9678614139556885,0.9532369375228882,0.9604935050010681,0.9396128058433533,0.9236080646514893
