Match,Number of epochs,Learning rate,Node features,Dropout rate,Patience,Hidden dimension,Precision,Recall,F1 Score,Accuracy
ensemble,200,0.0005,12,0.3,30,128,0.947847843170166,0.9383723139762878,0.9427554607391357,0.9383723139762878
ensemble,200,0.0008,12,0.2,30,128,0.946016252040863,0.938529372215271,0.9420819282531738,0.938529372215271
ensemble,250,0.0005,12,0.4,30,256,0.9471935033798218,0.948822021484375,0.9479175806045532,0.948822021484375
ensemble,250,0.0008,12,0.2,30,256,0.9461077451705933,0.956855058670044,0.9512417912483215,0.956855058670044
ensemble,250,0.0008,12,0.2,30,64,0.9398963451385498,0.9383172392845154,0.9389528632164001,0.9383172392845154
ensemble,250,0.0005,12,0.3,30,64,0.9238231778144836,0.9351117610931396,0.9290392398834229,0.9351117610931396
ensemble,250,0.0005,12,0.15,30,256,0.9556405544281006,0.9513932466506958,0.953154981136322,0.9513932466506958
ensemble,250,0.0005,12,0.3,30,256,0.9507759213447571,0.9479284286499023,0.9490266442298889,0.9479284286499023
ensemble,250,0.0008,12,0.2,30,256,0.7529175877571106,0.6941324472427368,0.6855968236923218,0.6941324472427368
ensemble,250,0.0008,12,0.2,30,256,0.9592270255088806,0.9556294679641724,0.9572640657424927,0.9556294679641724
